,sID,FEATURE,LAT,LON,AZ1,SL2,AZ2,DIST,BEARING,BETA1,BETA2,SL1,TILT
0,1,channel,16.88059499,-131.9036029,138.2367972,10.1777554,134.8405151,4845.847735762649,97.68877097911718,40.54802622088282,37.151744120882825,9.44823348064797,-1.8983439675147906
1,2,channel,16.93046397,-131.9799648,141.4383274,7.7554088,138.8833771,4579.292981012611,95.98135273391323,45.45697466608676,42.90202436608677,7.405456297238051,-1.2334315034706265
2,3,channel,16.88897233,-131.9563406,141.4383274,10.547471,150.8371277,4672.199188351152,97.60861431417159,43.8297130858284,53.228513385828414,12.223907555741341,3.9924786730536965
3,4,channel,16.84780617,-131.9263139,141.4383274,8.0959349,132.2737427,4789.0981720810805,99.12042803867973,42.31789936132027,33.15331466132028,6.568913341710974,-5.276735160694699
4,5,channel,16.86936705,-131.8769549,152.243284,8.9609833,138.4206238,4936.847128491552,98.00047212368501,54.24281187631497,40.42015167631498,7.149194641457386,-6.100473844285801
5,6,channel,16.9133881,-131.9804456,149.0862256,9.1244555,152.8409271,4584.14722210474,96.7040237236243,52.38220187637571,56.13690337637568,9.56936164058861,1.3225215370680345
6,7,channel,16.95560906,-131.8420619,127.1521089,9.4670362,133.4159088,5017.656371788517,94.516982213528,32.635126686472,38.89892658647201,11.041586927646406,3.7892882639426375
7,8,channel,16.92175217,-131.8048268,127.1521089,7.7543144,137.4008331,5148.390302967995,95.69716320010548,31.454945699894513,41.70366989989453,9.90508384876402,6.07814517629102
8,9,channel,16.85605982,-131.8177144,95.57797571,1.9024308,89.716774,5133.83906509136,98.21767909810038,2.639703388100345,8.500905098100384,6.116788759808034,5.771946380514162
9,10,channel,16.88971583,-132.1209284,156.1112022,10.2799759,143.6519623,4142.24191792711,98.50255820089423,57.608643999105766,45.14940409910577,8.617072616166546,-4.843373698281901
10,11,channel,16.84769584,-132.0987275,156.1112022,9.6712818,152.9075317,4236.7195864040095,100.27338662982882,55.83781557017117,52.63414507017117,9.28592504627252,-1.1292527504947287
11,12,channel,16.82490631,-132.1617634,136.8575943,8.9850922,139.0607605,4050.4512210346734,101.8488799567053,35.00871434329467,37.21188054329468,9.475959418800606,1.3211124939400527
12,13,channel,16.79213603,-132.1251414,136.8575943,9.247571,138.7333069,4190.68733990866,103.01417143961714,33.84342286038284,35.719135460382844,9.698234731928373,1.1623750171892553
13,14,channel,16.76300448,-132.0868972,136.8575943,4.2230582,144.2376404,4334.674841405674,103.92892078778506,32.928673512214914,40.308719612214944,5.027559202146314,4.370801257771248
14,15,channel,16.85569755,-132.3275546,137.6342436,6.1160975,147.2380371,3501.55409046077,101.93305612899756,35.70118747100242,45.30498097100245,7.457212910606601,5.141479863205198
15,16,channel,16.81953976,-132.2949282,137.6342436,7.1353135,141.2596283,3632.044583522746,103.49172867783375,34.14251492216624,37.76789962216627,7.790237478182124,2.1825185505192017
16,17,channel,16.78436345,-132.2594461,137.6342436,8.0218773,137.3042908,3773.1563567889334,104.85710608477004,32.777137515229946,32.44718471522995,7.94953257734362,-0.21537316037416687
17,18,channel,16.7509347,-132.2225686,137.6342436,8.3177671,137.9095917,3918.9789816244815,106.022275147185,31.611968452814985,31.887316552814994,8.38308039386132,0.1833695911617177
18,19,channel,16.72630363,-132.1776938,137.6342436,9.7050524,138.7148132,4082.5461924789092,106.59792580618382,31.036317793816163,32.1168873938162,10.01055540660069,0.7224811528156359
19,20,channel,17.07592121,-132.1445358,115.4611905,6.4809065,125.5627289,4020.1168700744142,89.71006519760309,25.751125302396918,35.85266370239691,8.752341309093966,6.874470209058732
20,21,channel,17.05705183,-132.0974012,115.4611905,6.7101564,127.0531769,4173.331548930143,90.61398558405078,24.84720491594922,36.43919131594922,9.506971700038052,7.916873804412447
21,22,channel,17.02853367,-132.0562231,115.4611905,6.477643,121.1376953,4309.135554371769,91.89444312704101,23.566747372958982,29.243252172959,7.923116850503124,4.243987257767699
22,23,channel,17.00924405,-132.0084326,115.4611905,5.5563426,141.0938568,4466.829533980022,92.68212137504767,22.779069124952326,48.41173542495231,10.780160250683261,15.628719371763005
23,24,channel,17.41761954,-131.8990579,80.68001185,5.6956239,77.7885361,4958.297795332713,76.29156164716298,4.388450202837053,1.4969744528370283,1.9417237686525668,-2.8791703955717143
24,25,channel,17.43184136,-131.8496386,80.68001185,6.1084104,82.3180542,5125.325104708252,76.2058095300068,4.47420231999319,6.1122446699932205,8.351155130668724,1.6171360920708224
25,26,channel,17.60281505,-131.868656,104.4923408,3.6341414,107.9986877,5236.047324531373,69.85729687441048,34.635043925589514,38.141390825589525,3.94958240130737,2.0880432577699573
26,27,channel,17.63589888,-132.0252586,105.9182586,5.6091161,114.0513916,4807.127472333618,66.46879336543421,39.449465234565814,47.5825982345658,6.520737939662813,4.004845738466827
27,28,channel,17.62757618,-131.975269,105.9182586,4.0578074,97.7443848,4945.0267978054035,67.53230210728334,38.385956492716666,30.21208269271666,3.2873697020662833,-5.126807165222353
28,29,channel,17.91075053,-132.5845191,114.9038653,0.8766863,353.477356,3861.7348541992174,42.15392511217428,72.74994018782573,48.67656911217433,0.6893852937488923,-6.775656924218438
29,30,channel,16.9125704,-132.9511227,177.8389205,6.2783985,192.6604004,1495.872465344023,110.47342586228129,67.36549463771871,82.18697453771871,6.7412404771511225,2.0264738242973053
30,31,channel,16.89683506,-132.8922183,167.3141726,6.1334224,171.8885956,1693.9629201215896,109.9184738498177,57.39569875018232,61.9701217501823,6.427978825345492,1.32374265225058
31,32,channel,16.94531317,-132.7666461,174.4574912,5.9217706,190.6678009,2042.6294787095476,101.68273019136628,72.7747610086337,88.98507070863373,6.19993541495594,1.3096661162964978
32,33,channel,16.89643273,-132.7663734,174.4574912,6.1653419,177.8565979,2083.450466155314,106.15295218896387,68.30453901103611,71.70364571103612,6.3004704794182915,0.6174298603641546
33,34,channel,16.84907122,-132.7653035,174.4574912,5.6262555,181.3867035,2137.0613933793416,110.27292192849792,64.18456927150206,71.1137815715021,5.9145155885408585,1.4218386251078883
34,35,channel,16.95818488,-132.6773475,163.7253967,5.4208465,167.079071,2320.0697617092906,99.19861850325765,64.52677819674237,67.88045249674236,5.563078941825507,0.7367355845610604
35,36,channel,16.91051061,-132.6686888,163.7253967,7.5730538,159.042511,2378.8022924038496,102.94492306736797,60.780473632632045,56.09758793263201,7.199940069336603,-1.4207237531914103
36,37,channel,16.86928576,-132.6439864,163.7253967,7.9846148,171.8923187,2491.22672286489,105.67745126104444,58.04794543895557,66.21486743895557,8.615679793568132,2.14620722247664
37,38,channel,16.95505684,-132.8726132,161.7439221,3.4312105,165.6133423,1699.2061467289557,102.90657105662248,58.83735104337751,62.70677124337752,3.5635804313537216,1.0729155516465383
38,39,channel,16.90921376,-132.8670303,161.7439221,4.6991968,169.767334,1757.8807907267146,107.72805348889277,54.01586861110722,62.03928051110725,5.130565910964696,2.474087478172848
39,40,channel,16.86784969,-132.8415563,161.7439221,5.553761,175.6499481,1882.650935560722,111.04210390900589,50.701818190994096,64.60784419099409,6.487088023736114,4.359603598648462
40,41,channel,17.164348,-132.700523,167.5456517,3.7588601,147.5378418,2239.3691947561265,81.53810098542297,86.00755071457702,65.99974081457704,3.441837130511019,-2.5173321630635996
41,42,channel,16.83517487,-132.452691,167.7759273,3.5739019,184.2763824,3121.6664096606814,104.69067106908197,63.08525623091804,79.58571133091803,3.942577391622425,2.8013742068595278
42,43,channel,16.78726508,-132.4503305,167.7759273,4.4742656,165.0209808,3174.1624321431154,107.49813182200987,60.277795477990146,57.52284897799013,4.346070440830454,-0.821168852234706
43,44,channel,16.96521042,-132.4505874,157.4122482,7.9670281,156.9875488,3046.6213260117083,96.5986217102767,60.81362648972328,60.38892708972331,7.933609026530031,-0.11851920297197438
44,45,channel,16.99190881,-132.5074859,167.0591862,7.0419846,165.2575684,2853.450866612011,95.19925520898634,71.85993099101366,70.05831319101364,6.9655910075528435,-0.31042563102179344
45,46,channel,16.92203299,-132.5442505,160.1889441,8.5605679,154.3036652,2767.051595541848,100.31258681890803,59.876357281091956,53.99107838109197,8.002372313597629,-1.887705889724046
46,47,channel,17.16165326,-131.6937222,113.3108187,11.3698664,122.401886,5491.8862482855875,86.86388461804499,26.446934081954996,35.538001381955006,14.909094354889138,6.160289382063489
47,48,channel,17.15315007,-131.6428098,113.3108187,11.2073288,124.4798965,5655.40443620165,87.26229197246873,26.04852672753127,37.21760452753128,15.527671783318876,7.459561495974469
48,49,channel,18.31885614,-132.2661969,84.8774767,1.0378164,12.2292175,5581.26624139294,40.508453121887584,44.36902357811242,28.27923562188758,0.7031130824991612,-9.61405983107175
49,50,channel,18.32122302,-132.2164729,84.8774767,1.5792211,34.547863,5692.722031746915,41.69790654057664,43.17957015942336,7.150043540576656,0.2872166740547489,-27.288323559143805
50,51,channel,19.24593633,-133.9510364,331.1426127,3.9420543,354.5260315,7626.633448919514,345.9970487527476,14.854436052747625,8.528982747252359,2.279326675780238,-5.942893909553938
51,52,channel,19.29345005,-133.9589606,331.1426127,3.9818828,1.891916,7789.364404407285,346.1003021572668,14.957689457266811,15.791613842733183,4.198764169558933,0.7512584461299845
52,53,channel,19.33554069,-133.983164,331.1426127,3.9591351,338.8751831,7946.869961397037,345.7972024635908,14.654589763590778,6.92201936359076,1.8848669287398334,-7.3253843372156355
53,54,channel,19.37890395,-134.0005947,331.1426127,5.4368653,333.9892883,8103.3630800458695,345.6642029543747,14.52159025437469,11.67491465437468,4.3854116234714775,-2.636589494975281
54,55,channel,19.42071597,-134.0280149,331.1426127,6.2371511,342.7210083,8262.84690790367,345.3090794661548,14.16646676615482,2.5880711661548195,1.1485721025280098,-11.166809491680088
55,56,channel,19.46160048,-134.0546005,331.1426127,7.177681,325.3853455,8418.887435564391,344.97965418763954,13.83704148763958,19.594308687639526,10.090502311086704,5.089004573744408
56,57,channel,19.50178356,-134.0851232,331.1426127,7.7688775,340.217926,8576.229636059614,344.57551650605,13.43290380605004,4.357590506050043,2.534030967927478,-8.733172585870797
57,58,channel,19.34848643,-133.5645872,344.5100401,6.1432247,354.1917725,7773.34320916617,355.643505771425,11.133465671424963,1.4517332714250453,0.8044975629030147,-9.477758998416741
58,59,channel,19.39645067,-133.5787325,344.5100401,6.6770215,352.2912598,7939.2804250815325,355.40216825751475,10.892128157514707,3.1109084575148205,1.9136396956344839,-7.594140956103043
59,60,channel,18.52824737,-133.8665486,284.93509,0.7343984,43.3127403,5206.078030343131,342.4381728890071,57.503082889007075,60.87456741099292,0.7606404027802748,0.9940762974197881
