,ID,frac_possible_southern_closest,frac_realistic_southern_closest,mean_southern_closest,std_southern_closest
0,482,0.07142857142857142,0.07142857142857142,2.254981408917188,
1,455,0.07142857142857142,0.07142857142857142,2.268290661628897,
2,333,0.21428571428571427,0.21428571428571427,11.944404188572017,8.173570753618257
3,119,0.35714285714285715,0.35714285714285715,4.6694214004361925,16.614495529008128
4,125,0.07142857142857142,0.07142857142857142,-22.566676724609465,
5,284,0.2857142857142857,0.2857142857142857,-0.3188490624080579,5.720407926264884
6,253,0.21428571428571427,0.21428571428571427,10.119958977025645,23.32232186079847
7,252,0.21428571428571427,0.21428571428571427,10.785381517451043,21.43001902856582
8,285,0.21428571428571427,0.21428571428571427,-0.12250096256690461,7.3151184108186085
9,124,0.07142857142857142,0.07142857142857142,-24.600899402223494,
10,454,0.07142857142857142,0.07142857142857142,2.287625029955519,
11,481,0.14285714285714285,0.14285714285714285,32.70314172900126,42.85779070036278
12,456,0.07142857142857142,0.07142857142857142,7.0522368740862,
13,126,0.14285714285714285,0.14285714285714285,-37.09789989375171,45.02478981837925
14,287,0.2857142857142857,0.2857142857142857,-6.496581623949978,23.645195081227826
15,278,0.35714285714285715,0.35714285714285715,18.43566383092269,23.4687015541356
16,250,0.14285714285714285,0.14285714285714285,20.500583561754834,19.07081217460541
17,251,0.14285714285714285,0.14285714285714285,18.763980233746302,22.425074336899705
18,279,0.35714285714285715,0.35714285714285715,19.42506809758974,26.805635167894987
19,286,0.21428571428571427,0.21428571428571427,-12.43265692642529,40.88653455925496
20,127,0.07142857142857142,0.07142857142857142,-32.549364730099555,
21,480,0.2857142857142857,0.2857142857142857,28.877745171031343,23.583614780419154
22,453,0.21428571428571427,0.21428571428571427,41.34468944787768,34.589610244434425
23,335,0.2857142857142857,0.2857142857142857,11.665941438104209,12.618622319769903
24,309,0.35714285714285715,0.35714285714285715,23.222286744486865,27.084030307705643
25,123,0.14285714285714285,0.14285714285714285,-29.96932923779848,14.990976263937252
26,282,0.35714285714285715,0.35714285714285715,2.408303773740899,12.886100931801291
27,255,0.21428571428571427,0.21428571428571427,5.254891763971493,39.29177774235176
28,254,0.21428571428571427,0.21428571428571427,1.240375387260033,37.494951531176504
29,283,0.35714285714285715,0.35714285714285715,20.439400591130756,34.77716773818294
30,122,0.21428571428571427,0.21428571428571427,-18.081942413415046,13.96769875729598
31,308,0.35714285714285715,0.35714285714285715,17.865051665912503,22.033659077444398
32,452,0.42857142857142855,0.42857142857142855,34.373880654171394,24.464935850075054
33,334,0.21428571428571427,0.21428571428571427,13.273951198058898,9.863338907405588
34,336,0.2857142857142857,0.2857142857142857,14.624337082120153,16.732057526027926
35,450,0.35714285714285715,0.35714285714285715,7.8956158007410995,6.303516038897126
36,120,0.35714285714285715,0.35714285714285715,-1.295008286381044,12.92633625409413
37,281,0.2857142857142857,0.2857142857142857,5.657899433732267,4.801519475418375
38,256,0.2857142857142857,0.2857142857142857,-0.9594691678804104,50.49615122908417
39,257,0.35714285714285715,0.35714285714285715,-1.078719998118474,14.610179924484818
40,280,0.21428571428571427,0.21428571428571427,8.68072581512894,5.822773378781342
41,121,0.21428571428571427,0.21428571428571427,-21.714142150860766,29.102482623450946
42,479,0.42857142857142855,0.42857142857142855,20.619411224258453,13.912693639865427
43,337,0.2857142857142857,0.2857142857142857,21.516627641634393,27.63317644446223
44,451,0.42857142857142855,0.42857142857142855,14.488225771391233,10.01327625524059
45,393,0.2857142857142857,0.2857142857142857,15.639053149726537,21.98222608021841
46,422,0.42857142857142855,0.42857142857142855,9.08842298477512,7.470163276910993
47,344,0.2857142857142857,0.2857142857142857,3.7599115320028815,13.70308871778856
48,152,0.35714285714285715,0.35714285714285715,-21.31581909100788,12.85664982144916
49,146,0.35714285714285715,0.35714285714285715,-12.46877729422567,29.808608087918056
50,224,0.21428571428571427,0.21428571428571427,6.497935732252472,11.271461550051795
51,230,0.35714285714285715,0.35714285714285715,-22.18260284236292,27.88579273267844
52,231,0.2857142857142857,0.2857142857142857,-10.733475723828693,15.707071574565349
53,225,0.21428571428571427,0.21428571428571427,5.656746719301243,10.789459729971625
54,147,0.21428571428571427,0.21428571428571427,-27.710179472162668,27.51296181871332
55,423,0.42857142857142855,0.42857142857142855,22.512047116044794,15.346358791693971
56,392,0.21428571428571427,0.21428571428571427,15.354894377803356,20.415767146604278
57,421,0.2857142857142857,0.2857142857142857,6.1188904385848035,4.320168527668107
